zone_id,class_id,tipo_intervencion,area_m2,area_ha,volumen_m3,prioridad
6718,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6719,4,Retención / almacenamiento puntual,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
6720,4,Retención / almacenamiento puntual,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6721,1,Conservación hídrica,2556.1459420191854,0.25561459420191857,17.772297620703487,Baja
6722,1,Conservación hídrica,1825.8185300137286,0.18258185300137286,12.694498300502662,Baja
6723,4,Retención / almacenamiento puntual,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6724,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6725,4,Retención / almacenamiento puntual,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
6726,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6727,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6728,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6729,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6730,4,Retención / almacenamiento puntual,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6731,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6732,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6733,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6734,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6735,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6736,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6737,1,Conservación hídrica,1460.654824010983,0.1460654824010983,10.15559864040213,Baja
6738,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6739,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6740,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6741,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6742,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6743,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6744,1,Conservación hídrica,14241.38453410642,1.424138453410642,99.01708674391615,Baja
6745,1,Conservación hídrica,1825.818530191628,0.1825818530191628,12.694498301739555,Baja
6746,4,Retención / almacenamiento puntual,2190.9822361231863,0.21909822361231862,15.233397961345139,Baja
6747,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6748,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6749,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6750,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
